configuration,epoch,optimizer_update,mean_total_training_loss,mean_scene_loss,mean_ip_loss,ip_loss_semantics,ending_learning_rate,validation_retrieval_loss,mean_source_separation_margin,patience,final_selected_checkpoint
cfg_k2,115,8740,1.134980495,1.116005371,0.01897512392,derived_weighted,0.0004177027049,0.3796758354,0.2881956995,1,false
cfg_k2,120,9120,1.116610557,1.097824192,0.01878636448,derived_weighted,0.0003772572564,0.3773694336,0.2891343832,2,false
cfg_k2,125,9500,1.101339031,1.082650462,0.01868856957,derived_weighted,0.0003376502654,0.3833955824,0.2882418036,3,false
cfg_k2,130,9880,1.086297959,1.06764769,0.01865026857,derived_weighted,0.0002991522877,0.3706309497,0.2904111743,4,false
cfg_k4,5,380,6.892595379,6.232301009,0.6602943703,derived_weighted,0.0005,1.965566754,0.1063020006,0,false
cfg_k4,10,760,4.721864114,4.644540609,0.07732350513,derived_weighted,0.001,1.252725482,0.1577894986,0,false
cfg_k4,15,1140,3.564680687,3.525485427,0.03919526025,derived_weighted,0.0009982922465,0.9042175412,0.1947946995,0,false
cfg_k4,20,1520,2.855338954,2.822045673,0.0332932811,derived_weighted,0.0009931806517,0.7306992412,0.2144829929,0,false
cfg_k4,25,1900,2.414367619,2.385240517,0.02912710215,derived_weighted,0.000984700133,0.5900177956,0.234654814,0,false
cfg_k4,30,2280,2.161613595,2.134392731,0.0272208631,derived_weighted,0.0009729086209,0.5393859744,0.2438337505,0,false
cfg_k4,35,2660,1.980322378,1.954090877,0.02623150066,derived_weighted,0.0009578866633,0.5026621819,0.2532666028,0,false
cfg_k4,40,3040,1.842137261,1.817864357,0.02427290427,derived_weighted,0.0009397368756,0.4592744708,0.2604376078,0,false
cfg_k4,45,3420,1.737243625,1.713708932,0.02353469259,derived_weighted,0.0009185832391,0.4332745373,0.2664430141,0,false
cfg_k4,50,3800,1.652703093,1.630161416,0.02254167764,derived_weighted,0.0008945702547,0.417503953,0.2732612491,0,false
cfg_k4,55,4180,1.570493046,1.547692479,0.02280056633,derived_weighted,0.0008678619553,0.4229487181,0.2695508301,1,false
cfg_k4,60,4560,1.510096508,1.488333893,0.0217626145,derived_weighted,0.0008386407858,0.391284138,0.2787966132,0,false
cfg_k4,65,4940,1.449725365,1.428431492,0.02129387291,derived_weighted,0.0008071063563,0.3966109455,0.2770251036,1,false
cfg_k4,70,5320,1.400239685,1.379744018,0.02049566727,derived_weighted,0.0007734740791,0.3813991845,0.2813995481,0,false
cfg_k4,75,5700,1.354774726,1.334391089,0.0203836372,derived_weighted,0.0007379736965,0.3722428083,0.2844555378,0,false
cfg_k4,80,6080,1.321656946,1.30167062,0.01998632519,derived_weighted,0.0007008477123,0.3742762506,0.2842477262,1,false
cfg_k4,85,6460,1.289119479,1.269340484,0.01977899451,derived_weighted,0.0006623497346,0.3701841235,0.2862161696,0,false
cfg_k4,90,6840,1.256441457,1.236991906,0.01944955148,derived_weighted,0.0006227427436,0.3524472415,0.2904851437,0,false
cfg_k4,95,7220,1.226085207,1.207108862,0.01897634487,derived_weighted,0.0005822972951,0.3606905639,0.2893305719,1,false
cfg_k4,100,7600,1.200342123,1.181355966,0.01898615674,derived_weighted,0.0005412896727,0.3520698845,0.2908249199,0,true
cfg_k4,105,7980,1.178217441,1.159402647,0.01881479433,derived_weighted,0.0005,0.360589534,0.2887419462,1,false
cfg_k4,110,8360,1.155493922,1.137023104,0.01847081812,derived_weighted,0.0004587103273,0.3552984595,0.2909988165,2,false
cfg_k4,115,8740,1.138436743,1.120240025,0.01819671738,derived_weighted,0.0004177027049,0.3567847908,0.2904102206,3,false
cfg_k4,120,9120,1.126343161,1.108344579,0.0179985815,derived_weighted,0.0003772572564,0.3583988249,0.2910651565,4,false
cfg_k16,5,380,6.504259967,5.841461871,0.662798096,derived_weighted,0.0005,1.776727557,0.1218035594,0,false
cfg_k16,10,760,4.456773781,4.369672455,0.08710132586,derived_weighted,0.001,1.21470046,0.1648905426,0,false
cfg_k16,15,1140,3.412587043,3.371238302,0.04134874156,derived_weighted,0.0009982922465,0.8866078854,0.2005736679,0,false
cfg_k16,20,1520,2.759252912,2.726052582,0.03320033048,derived_weighted,0.0009931806517,0.7149903178,0.2235508561,0,false
cfg_k16,25,1900,2.367596082,2.337865526,0.02973055526,derived_weighted,0.000984700133,0.5776426792,0.2437073737,0,false
cfg_k16,30,2280,2.120829471,2.093060738,0.027768733,derived_weighted,0.0009729086209,0.5905332565,0.2451741844,1,false
cfg_k16,35,2660,1.936973097,1.910244034,0.02672906236,derived_weighted,0.0009578866633,0.5266640186,0.2544915974,0,false
cfg_k16,40,3040,1.809445158,1.784200134,0.02524502371,derived_weighted,0.0009397368756,0.4921709895,0.2611503303,0,false
cfg_k16,45,3420,1.707807841,1.684006834,0.02380100677,derived_weighted,0.0009185832391,0.4439784586,0.2698001266,0,false
cfg_k16,50,3800,1.626344562,1.602753934,0.02359062747,derived_weighted,0.0008945702547,0.4380012453,0.2737968862,0,false
